,AKBNK,AKBNK,AKBNK,ASELS,ASELS,ASELS,FROTO,FROTO,FROTO,SISE,SISE,SISE
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2011-07-28 00:00:00+00:00,6.310798168182373,6.310798168182373,10273548,0.516323983669281,0.516323983669281,4750443,13.25,13.25,432700,2.2492940425872803,2.2492940425872803,3320261
2011-07-29 00:00:00+00:00,6.293649196624756,6.293649196624756,6686584,0.5186769962310791,0.5186769962310791,6500169,13.300000190734863,13.300000190734863,203795,2.225236892700196,2.225236892700196,1967301
2011-08-01 00:00:00+00:00,6.242201805114746,6.242201805114746,5403097,0.5174999833106995,0.5174999833106995,8359304,13.5,13.5,1061672,2.195167064666748,2.195167064666748,1850803
2011-08-02 00:00:00+00:00,6.190754890441895,6.190754890441895,9130908,0.5139719843864441,0.5139719843864441,5699532,13.050000190734863,13.050000190734863,491171,2.1650960445404053,2.1650960445404053,4013410
2011-08-03 00:00:00+00:00,6.310798168182373,6.310798168182373,22512165,0.5069149732589722,0.5069149732589722,6445448,12.850000381469728,12.850000381469728,567937,2.10495400428772,2.10495400428772,4802409
2011-08-04 00:00:00+00:00,5.967820167541504,5.967820167541504,21907756,0.5022109746932983,0.5022109746932983,6854804,12.050000190734863,12.050000190734863,941657,2.10495400428772,2.10495400428772,5032855
2011-08-05 00:00:00+00:00,5.779181957244873,5.779181957244873,25372656,0.4880970120429992,0.4880970120429992,10691478,11.449999809265137,11.449999809265137,981208,2.0207560062408447,2.0207560062408447,4965968
2011-08-08 00:00:00+00:00,5.178969860076904,5.178969860076904,26814225,0.4339950084686279,0.4339950084686279,12613191,10.949999809265137,10.949999809265137,782474,1.8523600101470947,1.8523600101470947,5442560
2011-08-09 00:00:00+00:00,5.264713764190674,5.264713764190674,24836561,0.4386990070343017,0.4386990070343017,13869931,10.649999618530272,10.649999618530272,1198295,1.90047299861908,1.90047299861908,5783496
2011-08-10 00:00:00+00:00,5.076076030731201,5.076076030731201,27210774,0.4257619976997375,0.4257619976997375,11080429,10.050000190734863,10.050000190734863,828469,1.834316968917847,1.834316968917847,7297630
2011-08-11 00:00:00+00:00,5.024630069732666,5.024630069732666,21537262,0.4351710081100464,0.4351710081100464,10752458,11.149999618530272,11.149999618530272,456415,1.906486988067627,1.906486988067627,4604753
2011-08-12 00:00:00+00:00,5.299012184143066,5.299012184143066,17337451,0.4410510063171386,0.4410510063171386,6075849,11.600000381469728,11.600000381469728,368350,1.906486988067627,1.906486988067627,3941981
